Domaine	Endpoint/source	Chemin JSON exact	Type	Exemple réel	Disponible avant match ?	Disponible en direct ?	Disponible après match ?	Historique accessible ?	Fiabilité/complétude	Déjà stocké dans le projet ?	Déjà utilisé par le moteur ?
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.biggest.loses.home	str	1-4	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.biggest.streak.draws	int	2	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.biggest.streak.loses	int	3	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.biggest.streak.wins	int	8	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.biggest.wins.away	str	0-2	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.biggest.wins.home	str	4-0	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.red.0-15.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.red.0-15.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.red.106-120.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.red.106-120.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.red.16-30.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.red.16-30.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.red.31-45.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.red.31-45.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.red.46-60.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.red.46-60.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.red.61-75.percentage	str	100.00%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.red.61-75.total	int	1	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.red.76-90.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.red.76-90.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.red.91-105.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.red.91-105.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.yellow.0-15.percentage	str	5.17%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.yellow.0-15.total	int	3	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.yellow.106-120.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.yellow.106-120.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.yellow.16-30.percentage	str	5.17%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.yellow.16-30.total	int	3	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.yellow.31-45.percentage	str	13.79%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.yellow.31-45.total	int	8	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.yellow.46-60.percentage	str	29.31%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.yellow.46-60.total	int	17	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.yellow.61-75.percentage	str	17.24%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.yellow.61-75.total	int	10	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.yellow.76-90.percentage	str	12.07%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.yellow.76-90.total	int	7	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.yellow.91-105.percentage	str	17.24%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.cards.yellow.91-105.total	int	10	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.clean_sheet.away	int	3	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.clean_sheet.home	int	6	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.clean_sheet.total	int	9	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.failed_to_score.away	int	6	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.failed_to_score.home	int	4	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.failed_to_score.total	int	10	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.fixtures.draws.away	int	6	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.fixtures.draws.home	int	2	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.fixtures.draws.total	int	8	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.fixtures.loses.away	int	6	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.fixtures.loses.home	int	5	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.fixtures.loses.total	int	11	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.fixtures.played.away	int	18	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.fixtures.played.home	int	19	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.fixtures.played.total	int	37	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.fixtures.wins.away	int	6	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.fixtures.wins.home	int	12	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.fixtures.wins.total	int	18	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.form	str	DLLDDWWWWLWWWWWWWWLWDLWLDWDLLLWDWLLDW	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.average.away	str	1.4	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.average.home	str	1.2	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.average.total	str	1.3	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.minute.0-15.percentage	str	20.00%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.minute.0-15.total	int	10	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.minute.106-120.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.minute.106-120.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.minute.16-30.percentage	str	8.00%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.minute.16-30.total	int	4	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.minute.31-45.percentage	str	18.00%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.minute.31-45.total	int	9	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.minute.46-60.percentage	str	20.00%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.minute.46-60.total	int	10	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.minute.61-75.percentage	str	14.00%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.minute.61-75.total	int	7	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.minute.76-90.percentage	str	20.00%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.minute.76-90.total	int	10	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.minute.91-105.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.minute.91-105.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.total.away	int	26	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.total.home	int	22	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.total.total	int	48	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.under_over.0.5.over	int	28	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.under_over.0.5.under	int	9	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.under_over.1.5.over	int	12	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.under_over.1.5.under	int	25	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.under_over.2.5.over	int	6	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.under_over.2.5.under	int	31	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.under_over.3.5.over	int	2	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.under_over.3.5.under	int	35	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.under_over.4.5.over	int	0	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.against.under_over.4.5.under	int	37	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.average.away	str	1.2	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.average.home	str	1.7	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.average.total	str	1.5	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.minute.0-15.percentage	str	5.77%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.minute.0-15.total	int	3	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.minute.106-120.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.minute.106-120.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.minute.16-30.percentage	str	11.54%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.minute.16-30.total	int	6	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.minute.31-45.percentage	str	21.15%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.minute.31-45.total	int	11	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.minute.46-60.percentage	str	19.23%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.minute.46-60.total	int	10	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.minute.61-75.percentage	str	17.31%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.minute.61-75.total	int	9	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.minute.76-90.percentage	str	25.00%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.minute.76-90.total	int	13	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.minute.91-105.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.minute.91-105.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.total.away	int	22	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.total.home	int	32	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.total.total	int	54	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.under_over.0.5.over	int	27	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.under_over.0.5.under	int	10	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.under_over.1.5.over	int	16	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.under_over.1.5.under	int	21	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.under_over.2.5.over	int	7	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.under_over.2.5.under	int	30	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.under_over.3.5.over	int	4	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.under_over.3.5.under	int	33	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.under_over.4.5.over	int	0	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.goals.for.under_over.4.5.under	int	37	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.lineups[].formation	str	4-2-3-1	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.lineups[].played	int	33	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.penalty.missed.percentage	str	0%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.penalty.missed.total	int	0	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.penalty.scored.percentage	str	0%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.penalty.scored.total	int	0	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.league.penalty.total	int	0	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.logo	str	https://media.api-sports.io/football/teams/66.png	oui si disponible	non	non pertinent	oui endpoint	bonne	oui	oui
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.away.name	str	Aston Villa	oui si disponible	non	non pertinent	oui endpoint	bonne	oui	oui
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.id	int	50	oui si disponible	non	non pertinent	oui endpoint	bonne	oui	oui
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.last_5.att	str	92%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.last_5.def	str	67%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.last_5.form	str	73%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.last_5.goals.against.average	str	0.8	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.last_5.goals.against.total	int	4	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.last_5.goals.for.average	str	2.2	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.last_5.goals.for.total	int	11	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.last_5.played	int	5	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.biggest.goals.against.away	int	4	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.biggest.goals.against.home	int	2	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.biggest.goals.for.away	int	5	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.biggest.goals.for.home	int	5	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.biggest.loses.away	str	2-0	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.biggest.loses.home	str	0-2	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.biggest.streak.draws	int	3	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.biggest.streak.loses	int	2	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.biggest.streak.wins	int	6	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.biggest.wins.away	str	0-4	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.biggest.wins.home	str	5-1	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.red.0-15.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.red.0-15.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.red.106-120.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.red.106-120.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.red.16-30.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.red.16-30.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.red.31-45.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.red.31-45.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.red.46-60.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.red.46-60.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.red.61-75.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.red.61-75.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.red.76-90.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.red.76-90.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.red.91-105.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.red.91-105.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.yellow..percentage	str	1.52%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.yellow..total	int	1	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.yellow.0-15.percentage	str	1.52%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.yellow.0-15.total	int	1	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.yellow.106-120.percentage	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.yellow.106-120.total	null		oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.yellow.16-30.percentage	str	6.06%	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
Prédictions API isolées	/predictions?fixture=1379344	response[].teams.home.league.cards.yellow.16-30.total	int	4	oui si disponible	non	non pertinent	oui endpoint	bonne	non	non
